Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Ratings
UP51GX64,Headphones,Home Appliances,Product_UBRJS,115.19,30,3,15x7x16 cm,1/1/2023,1/1/2024,8ARFH5,"GHA,JYS",Blue/Medium,3
HZ0V0CP4,Smartphone,Electronics,Product_L1U3N,497.17,3,1,16x20x5 cm,1/1/2023,1/1/2024,361JJC,"437,3AX",Blue/Medium,4
7370NVFD,Smartphone,Electronics,Product_3U3CZ,445.68,7,1,10x8x8 cm,3/15/2023,1/1/2026,1XLJ64,"YJ5,CTC",Red/Small,4
P18HXNO7,Headphones,Clothing,Product_6DMYW,335.57,25,2,6x16x20 cm,7/30/2023,1/1/2024,2PY5H5,"GCA,0FR",Red/Small,2
7LSZNWE6,Smartphone,Electronics,Product_BU5WB,296.84,81,1,17x18x18 cm,3/15/2023,1/1/2024,1N92BW,"RL7,WNG",Green/Large,3
CMDO6EH5,Laptop,Electronics,Product_ZZ84L,290.54,60,3,13x5x12 cm,3/15/2023,1/1/2024,OTFXG1,"KTE,08V",Green/Large,3
BYBMMR12,Smartphone,Electronics,Product_RSBYN,210.08,37,1,17x10x13 cm,1/1/2023,1/1/2025,KERQ20,"HDK,IDP",Blue/Medium,4
CJVYM871,Headphones,Electronics,Product_WALNT,371.57,47,3,18x11x12 cm,7/30/2023,1/1/2024,O7YTZO,"J7C,HB3",Red/Small,1
BG6310C8,Laptop,Electronics,Product_KQKYB,285.28,3,1,6x10x18 cm,1/1/2023,1/1/2026,5YB4LU,"I6M,E75",Blue/Medium,1
ZBU2M4S7,Laptop,Home Appliances,Product_LT3RV,259.18,92,1,14x6x8 cm,1/1/2023,1/1/2026,NKBAFV,"2C5,OOJ",Green/Large,3
V48DVTYY,Laptop,Clothing,Product_3126M,237.78,98,3,5x5x13 cm,3/15/2023,1/1/2025,5U3PK9,"P19,NZ2",Green/Large,2
DZ7167XR,Laptop,Home Appliances,Product_DCWVC,104.78,41,1,5x12x9 cm,1/1/2023,1/1/2024,N9MWIZ,"G8N,UHM",Red/Small,5
NAGQPF4M,Monitor,Clothing,Product_SBW4G,114.64,61,1,18x11x13 cm,1/1/2023,1/1/2025,KAHW4R,"TBG,EXX",Green/Large,1
HVUA6QCR,Smartphone,Home Appliances,Product_XVL8S,155.72,91,3,16x6x9 cm,1/1/2023,1/1/2024,7OTGQL,"IL0,RBG",Blue/Medium,3
QALGU4PU,Laptop,Electronics,Product_PK5MU,425.77,27,1,5x11x7 cm,3/15/2023,1/1/2026,ZQNZXV,"V7C,WV1",Green/Large,2
NFCMWTRL,Laptop,Clothing,Product_AK13G,491.67,52,3,10x14x8 cm,1/1/2023,1/1/2026,00M17R,"NAG,NZM",Blue/Medium,1
7KEY4N13,Monitor,Clothing,Product_403AX,294.34,36,2,9x15x10 cm,1/1/2023,1/1/2026,3XV2AR,"TCL,371",Red/Small,1
DYV4IIBE,Monitor,Electronics,Product_S7QG6,188.64,27,1,18x19x17 cm,3/15/2023,1/1/2024,TY3HKZ,"YW8,7GS",Blue/Medium,4
IS1LBY0Y,Monitor,Clothing,Product_XIG6N,152.8,11,1,18x8x10 cm,7/30/2023,1/1/2025,UQDO9W,"VAT,6FI",Blue/Medium,3
2HC2Q36U,Monitor,Clothing,Product_IZ99X,468.64,10,1,16x11x18 cm,1/1/2023,1/1/2024,9V6U65,"0OK,NKO",Red/Small,1
Y4VIQZCW,Headphones,Home Appliances,Product_RJAVZ,483.5,57,2,13x12x11 cm,3/15/2023,1/1/2026,0I0ESD,"3BR,FUE",Green/Large,4
JLOWSHTS,Headphones,Home Appliances,Product_2RR7O,163.34,53,2,13x8x15 cm,3/15/2023,1/1/2025,NXEP4P,"S82,3ZY",Green/Large,3
9ZMDB8EW,Monitor,Home Appliances,Product_S1YZZ,309.96,38,1,18x8x10 cm,1/1/2023,1/1/2026,AURP27,"U5M,VTH",Red/Small,1
ZRC3DELS,Headphones,Electronics,Product_VOAB2,430.65,57,1,8x19x12 cm,7/30/2023,1/1/2024,ETMAGL,"2BN,UJI",Green/Large,2
T1PSU1OL,Monitor,Clothing,Product_SJKN0,468.67,41,2,11x12x5 cm,3/15/2023,1/1/2026,P57TUZ,"BQK,EQ5",Blue/Medium,1
YTGMHSGA,Smartphone,Electronics,Product_6LI96,44.57,34,2,20x18x6 cm,7/30/2023,1/1/2026,7VZAOT,"X3R,J8N",Green/Large,1
I7H03T4S,Laptop,Home Appliances,Product_LX7G8,238.49,57,1,10x8x17 cm,7/30/2023,1/1/2026,MUTASG,"ZTM,0ED",Blue/Medium,4
QBRJ1VTE,Monitor,Electronics,Product_BR1BQ,299.49,40,1,10x17x8 cm,7/30/2023,1/1/2026,CMI0Y7,"W2S,B8E",Blue/Medium,5
CYVT4HC7,Headphones,Electronics,Product_QZUNE,181.37,66,2,7x14x15 cm,7/30/2023,1/1/2024,P4FH9N,"TTJ,7NC",Red/Small,3
C44BLRMA,Laptop,Electronics,Product_1OX43,208.29,9,2,12x19x5 cm,3/15/2023,1/1/2024,SM7YO4,"69D,05Y",Blue/Medium,5
AXQOZXAQ,Headphones,Electronics,Product_A0DFL,492.79,74,3,12x7x17 cm,7/30/2023,1/1/2026,L84J2X,"PIL,K5P",Green/Large,2
8M7VZ1RL,Smartphone,Clothing,Product_K13OV,181.24,62,3,13x5x7 cm,3/15/2023,1/1/2024,LIDZV9,"ELV,30I",Green/Large,1
N6AM2SV6,Headphones,Home Appliances,Product_9EXXG,444.83,65,2,8x8x19 cm,3/15/2023,1/1/2024,GQ1QZV,"5GX,QBH",Blue/Medium,4
TOME0UZT,Headphones,Clothing,Product_5S7EO,422.28,90,2,7x17x8 cm,3/15/2023,1/1/2026,ZXCWVJ,"PV2,BU2",Red/Small,5
LUIWVOYB,Headphones,Electronics,Product_6B641,461.05,57,2,6x5x10 cm,1/1/2023,1/1/2025,Y4KDXG,"LOE,BVB",Red/Small,2
6J5NNB29,Smartphone,Clothing,Product_I4OAD,334.23,57,1,20x20x8 cm,7/30/2023,1/1/2024,TH2FJA,"SN2,PHA",Red/Small,5
NF7YVS6M,Laptop,Clothing,Product_D7NXV,277.52,17,3,12x9x20 cm,3/15/2023,1/1/2025,0B5LDF,"230,5M0",Blue/Medium,3
6ULTHL44,Smartphone,Clothing,Product_R0T4O,381.09,51,1,14x16x20 cm,3/15/2023,1/1/2026,0X9GHF,"Y07,P08",Red/Small,3
VM9GXXZC,Smartphone,Clothing,Product_5S7IW,471.6,63,3,7x20x17 cm,7/30/2023,1/1/2024,XEP9XI,"IRX,V2B",Blue/Medium,5
1Q3649GM,Smartphone,Clothing,Product_HOZTM,182.31,17,1,12x20x13 cm,1/1/2023,1/1/2024,NRLUD3,"YIN,6M7",Red/Small,5
IWXBF9I3,Monitor,Clothing,Product_B7M14,196.87,34,2,18x13x12 cm,7/30/2023,1/1/2024,CVD7VI,"QWO,VCA",Green/Large,1
A9WXE065,Monitor,Home Appliances,Product_3YUN8,271.66,50,2,19x5x14 cm,1/1/2023,1/1/2025,S4FJYA,"Q36,344",Red/Small,1
KG4C781G,Monitor,Clothing,Product_U46WP,24.5,94,1,6x7x15 cm,7/30/2023,1/1/2026,4PTY5U,"FE2,HPG",Green/Large,4
0QO29QT9,Monitor,Clothing,Product_ED08J,232.91,65,2,17x18x19 cm,7/30/2023,1/1/2024,6D2K6H,"HWK,KWT",Blue/Medium,4
8CMR8SVE,Smartphone,Home Appliances,Product_WEKOX,202.37,94,2,11x12x16 cm,7/30/2023,1/1/2024,MEAZD2,"5ZR,C25",Red/Small,2
CZX128OR,Smartphone,Clothing,Product_2LM9T,497.46,92,3,18x12x16 cm,7/30/2023,1/1/2025,HGN9LT,"4GY,RHA",Blue/Medium,5
2L4BA6CA,Monitor,Home Appliances,Product_YJR5F,66.33,85,1,13x15x14 cm,1/1/2023,1/1/2024,W5992M,"XMH,FYB",Green/Large,5
DCLH9XED,Laptop,Home Appliances,Product_2QWV8,451.97,37,1,7x14x11 cm,1/1/2023,1/1/2024,Z1NCP7,"M80,KNW",Blue/Medium,3
D4XYTW1Y,Laptop,Clothing,Product_5OMSY,199.48,100,2,7x20x9 cm,3/15/2023,1/1/2025,V2IM9Z,"4W6,FDN",Blue/Medium,3
952TOLXU,Monitor,Clothing,Product_A3QF7,39.78,90,1,19x9x9 cm,7/30/2023,1/1/2024,61Y0PV,"5TM,WCJ",Red/Small,5
M7XTS2SI,Laptop,Electronics,Product_35HS0,484.23,83,3,20x20x6 cm,7/30/2023,1/1/2025,B4MR1S,"3N6,BKN",Green/Large,1
B100V4FB,Smartphone,Clothing,Product_U840Y,140.45,47,2,17x9x19 cm,1/1/2023,1/1/2024,3E5V64,"U6H,QTK",Blue/Medium,1
LEJ2VZVS,Headphones,Home Appliances,Product_B24F3,361.9,25,3,8x9x8 cm,1/1/2023,1/1/2025,K6T9PH,"PZD,CX7",Green/Large,5
5989778W,Laptop,Electronics,Product_X9PWQ,268,19,3,10x12x10 cm,1/1/2023,1/1/2024,6P7WE9,"V48,L01",Green/Large,2
RAPIFH2X,Laptop,Electronics,Product_SZ221,477.69,74,1,9x20x10 cm,7/30/2023,1/1/2026,2QECYI,"M9M,67D",Green/Large,2
YOCEX6MH,Smartphone,Clothing,Product_X5J4B,326.1,95,1,19x9x10 cm,3/15/2023,1/1/2024,J49JX6,"ZSK,8XB",Red/Small,1
4Q1IB9FD,Smartphone,Home Appliances,Product_45YQP,127.17,11,2,13x20x20 cm,1/1/2023,1/1/2025,XT748L,"79A,R0P",Red/Small,3
Y060Z3GT,Laptop,Home Appliances,Product_RVWIB,494.26,28,1,13x17x15 cm,7/30/2023,1/1/2026,20S2ON,"5V1,4MX",Green/Large,1
GSRQE40O,Monitor,Home Appliances,Product_YIKI7,168.71,92,2,11x8x5 cm,1/1/2023,1/1/2024,FX6CEQ,"HI9,I0F",Green/Large,1
R1FT3LGC,Headphones,Clothing,Product_PI5I9,181.28,54,1,6x9x11 cm,1/1/2023,1/1/2025,D536ET,"7VE,1WY",Blue/Medium,4
TDZBOWJI,Laptop,Clothing,Product_4BCRJ,469.01,36,1,7x15x8 cm,1/1/2023,1/1/2026,G85QAK,"MMA,P4O",Blue/Medium,2
NAA3YQVC,Monitor,Clothing,Product_UO8H0,300.53,58,2,13x15x13 cm,7/30/2023,1/1/2026,IZBJHU,"DZ3,OH7",Red/Small,1
XWWMXXA8,Headphones,Home Appliances,Product_K4PVT,493.4,83,1,12x9x18 cm,7/30/2023,1/1/2025,YB6ISH,"7XH,WTD",Green/Large,1
GBGBAS5X,Smartphone,Electronics,Product_HA6M6,370.88,67,3,14x10x8 cm,1/1/2023,1/1/2024,3XRAX0,"OQ6,UD1",Red/Small,1
QI0AO289,Monitor,Clothing,Product_D0I2V,294.71,59,3,11x12x11 cm,3/15/2023,1/1/2026,26X44C,"1A8,OW0",Blue/Medium,5
FL2A2A3V,Monitor,Electronics,Product_X7YQ2,406.95,29,1,20x13x13 cm,7/30/2023,1/1/2025,N94RG5,"SNV,D80",Blue/Medium,5
RX6OUC5Q,Smartphone,Electronics,Product_POS7H,152.27,30,3,7x17x9 cm,3/15/2023,1/1/2026,4H3PAB,"WVW,NGN",Blue/Medium,4
7A8Z5XKY,Monitor,Electronics,Product_NHAYA,55.96,52,3,20x10x10 cm,1/1/2023,1/1/2026,FRYKJ7,"WQO,5W1",Blue/Medium,3
KCX97SS4,Monitor,Electronics,Product_0935R,133.05,18,3,19x5x12 cm,3/15/2023,1/1/2024,LN5XJI,"J1S,JA6",Red/Small,5
1RHY2WYE,Smartphone,Home Appliances,Product_LIX26,223.8,95,1,16x14x8 cm,7/30/2023,1/1/2025,2ZCR3D,"H4H,TI2",Blue/Medium,5
Y2KR5WJ3,Laptop,Clothing,Product_3IVR2,384.5,40,3,10x5x14 cm,3/15/2023,1/1/2025,CF9LCQ,"VCU,55U",Red/Small,1
KCLY1NBD,Monitor,Electronics,Product_7EK8D,36.82,99,2,10x20x9 cm,7/30/2023,1/1/2025,EUK16H,"T8D,CBF",Red/Small,2
7D2N21XG,Headphones,Clothing,Product_AZTM8,38.82,10,1,5x5x5 cm,3/15/2023,1/1/2025,42EA5M,"8C4,YA8",Green/Large,5
R7DSJBQE,Headphones,Electronics,Product_ZIREG,100.97,46,1,7x6x16 cm,3/15/2023,1/1/2026,KWGLCV,"494,DUQ",Green/Large,5
PDH421U3,Smartphone,Clothing,Product_BJ2O2,293.06,87,2,12x18x15 cm,7/30/2023,1/1/2025,R70TRF,"YC7,KB7",Blue/Medium,4
FH9OHJZE,Smartphone,Electronics,Product_FH9Z2,41.65,30,3,17x19x9 cm,3/15/2023,1/1/2026,SFLOEZ,"3KQ,GVI",Green/Large,2
3X09T2X9,Headphones,Home Appliances,Product_DLYED,349.24,5,3,18x20x15 cm,1/1/2023,1/1/2025,64WYKT,"55Y,VBM",Red/Small,2
9BICLRWQ,Monitor,Electronics,Product_BIH3I,338.48,26,1,14x18x10 cm,3/15/2023,1/1/2024,UI6CBF,"J2H,ZMU",Blue/Medium,2
LO2PMDHN,Laptop,Clothing,Product_BC7HK,36.4,16,1,20x5x13 cm,7/30/2023,1/1/2026,04G5ZX,"BMQ,VXV",Red/Small,2
55JULQKK,Monitor,Clothing,Product_67YIJ,177.15,66,3,7x17x5 cm,3/15/2023,1/1/2025,D52R25,"BZ5,KRU",Red/Small,4
2P9HU6UT,Laptop,Electronics,Product_S8KK2,32.48,59,2,10x8x9 cm,3/15/2023,1/1/2025,H2LZR9,"TWD,KZV",Red/Small,1
PSMRQUBI,Smartphone,Clothing,Product_7N9EX,433.67,74,3,17x13x15 cm,7/30/2023,1/1/2025,C7B690,"09R,6H9",Green/Large,2
O7X3RD6H,Laptop,Clothing,Product_C9F5V,269.59,35,2,19x20x9 cm,3/15/2023,1/1/2026,8TI099,"3TD,7VG",Green/Large,2
8DOQDUEN,Monitor,Electronics,Product_IIXE3,485.3,60,1,13x11x9 cm,7/30/2023,1/1/2024,FECLAW,"Z0R,VIP",Green/Large,1
C92SS2RS,Smartphone,Home Appliances,Product_5HIYT,29.63,43,1,15x14x13 cm,7/30/2023,1/1/2026,6UOZOS,"ILZ,1ES",Green/Large,3
LW6ZR2M1,Monitor,Electronics,Product_CQBI3,283.68,95,1,6x5x19 cm,1/1/2023,1/1/2026,HYW7S7,"2Z7,JI4",Blue/Medium,5
Y05U1DSX,Smartphone,Home Appliances,Product_782QG,496.16,93,1,20x20x16 cm,1/1/2023,1/1/2026,VLEYS1,"3NH,K7L",Red/Small,3
XK9BCTZ6,Laptop,Clothing,Product_NXFI3,310.91,1,3,9x5x12 cm,1/1/2023,1/1/2026,UQ7SLI,"222,498",Blue/Medium,2
45QSNHSF,Smartphone,Electronics,Product_9SW3K,164.32,16,1,7x17x10 cm,3/15/2023,1/1/2026,YFXJAZ,"FJ4,DIQ",Red/Small,1
UMJ25HET,Monitor,Clothing,Product_MRD5G,217.16,8,3,13x20x17 cm,3/15/2023,1/1/2024,3IW4HL,"Z65,78C",Green/Large,3
TUPKUVLO,Headphones,Electronics,Product_TVJED,249.01,52,3,7x11x16 cm,7/30/2023,1/1/2026,BAWD52,"T8N,I4G",Red/Small,2
FX1E6LCV,Headphones,Clothing,Product_YU3Z9,349,74,3,13x14x18 cm,3/15/2023,1/1/2024,CMT8PP,"TXY,EPL",Blue/Medium,4
